% Index
1                         2                        3                        4                        5                        6                        7                        8                        9                        10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21                       22                       23                       24                       25                       26                       27                       28                       29                       30                       31                       32                       33                       34                       35                       36                       37                       38                       39                       40                       41                       42                       43                       44                       45                       46                       47                       48                       49                       50
% qx (m) @ t=0
1.8E-6                    5.4E-6                   9.0E-6                   1.2599999999999998E-5    1.62E-5                  1.98E-5                  2.34E-5                  2.7E-5                   3.06E-5                  3.42E-5                  3.78E-5                  4.14E-5                  4.4999999999999996E-5    4.8599999999999995E-5    5.2199999999999995E-5    5.5799999999999994E-5    5.940000000000001E-5     6.3E-5                   6.659999999999999E-5     7.02E-5                  7.379999999999999E-5     7.74E-5                  8.099999999999999E-5     8.46E-5                  8.82E-5                  9.18E-5                  9.539999999999999E-5     9.9E-5                   1.026E-4                 1.062E-4                 1.098E-4                 1.1339999999999999E-4    1.17E-4                  1.2059999999999998E-4    1.2419999999999998E-4    1.278E-4                 1.314E-4                 1.35E-4                  1.3859999999999998E-4    1.422E-4                 1.4580000000000002E-4    1.494E-4                 1.53E-4                  1.5659999999999998E-4    1.602E-4                 1.638E-4                 1.674E-4                 1.7099999999999998E-4    1.7459999999999996E-4    1.782E-4
% qy (m) @ t=0
2.999999999999999E-4      3.0E-4                   3.0E-4                   2.999999999999999E-4     3.0E-4                   3.0000000000000003E-4    3.0E-4                   3.0E-4                   3.0E-4                   2.999999999999999E-4     3.0E-4                   3.0E-4                   2.999999999999999E-4     3.0E-4                   3.0E-4                   2.999999999999999E-4     3.0000000000000003E-4    3.0E-4                   3.0E-4                   2.999999999999999E-4     2.999999999999999E-4     3.0E-4                   3.0E-4                   2.9999999999999987E-4    3.0E-4                   3.0E-4                   2.999999999999999E-4     3.0E-4                   3.0E-4                   2.999999999999999E-4     2.999999999999999E-4     3.0E-4                   2.999999999999999E-4     3.0E-4                   3.0E-4                   2.999999999999999E-4     3.0E-4                   3.0E-4                   2.999999999999999E-4     2.999999999999999E-4     3.0E-4                   2.999999999999999E-4     2.9999999999999987E-4    2.999999999999999E-4     3.0E-4                   3.0E-4                   3.0000000000000003E-4    3.0E-4                   3.0E-4                   3.0000000000000003E-4
% qx (m) @ t=0.1
1.7436617292249244E-6     3.0676861478791293E-6    7.835835850211616E-6     1.2302916391004002E-5    1.5787395972399004E-5    1.9317949456072603E-5    2.2879418880886925E-5    2.7178226068216972E-5    3.116089616547597E-5     3.3834425605556435E-5    3.7992078713903774E-5    4.1469248896556196E-5    4.5147977084403586E-5    4.9161432961844036E-5    5.2448617509712496E-5    5.5983436510496954E-5    5.955987172585396E-5     6.347843732456066E-5     6.723279339831133E-5     7.04894362398642E-5      7.388021519756524E-5     7.771809932298597E-5     8.141743580335232E-5     8.45496633859447E-5      8.811345288874367E-5     9.189583687858272E-5     9.545878152936617E-5     9.858233262689689E-5     1.0229335761035778E-4    1.0612740748831174E-4    1.0950523777279707E-4    1.1277080205221698E-4    1.1652661703288254E-4    1.2044679563945278E-4    1.2401400032906087E-4    1.2755469796582892E-4    1.3084364527116312E-4    1.3485430407897503E-4    1.3852927123268036E-4    1.4201051350844215E-4    1.461691673567714E-4     1.4883668140399278E-4    1.528197148168976E-4     1.571207049755071E-4     1.6067113815242977E-4    1.6421301378709472E-4    1.6771873021403236E-4    1.7220853379332145E-4    1.769173046102374E-4     1.782563984017987E-4
% qy (m) @ t=0.1
2.606060931833095E-4      1.2673499920993567E-4    -4.242095295375019E-5    -9.999999999999998E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999998E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -1.0E-4                  -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999996E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999996E-5    -1.0E-4                  -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999996E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -1.0E-4                  -1.0E-4                  -9.999999999999999E-5    -9.999999999999998E-5    -4.217719863277801E-5    1.266161636890564E-4     2.606032348801391E-4
% qx (m) @ t=0.2
1.3545885968806162E-6     8.936772875336974E-6     9.690347083971825E-6     1.2302916391004002E-5    1.5787395972399004E-5    1.9317949456072603E-5    2.2879418880886925E-5    2.7178226068216972E-5    3.116089616547597E-5     3.3834425605556435E-5    3.7992078713903774E-5    4.1469248896556196E-5    4.5147977084403586E-5    4.9161432961844036E-5    5.2448617509712496E-5    5.5983436510496954E-5    5.955987172585396E-5     6.347843732456066E-5     6.723279339831133E-5     7.04894362398642E-5      7.388021519756524E-5     7.771809932298597E-5     8.141743580335232E-5     8.45496633859447E-5      8.811345288874367E-5     9.189583687858272E-5     9.545878152936617E-5     9.858233262689689E-5     1.0229335761035778E-4    1.0612740748831174E-4    1.0950523777279707E-4    1.1277080205221698E-4    1.1652661703288254E-4    1.2044679563945278E-4    1.2401400032906087E-4    1.2755469796582892E-4    1.3084364527116312E-4    1.3485430407897503E-4    1.3852927123268036E-4    1.4201051350844215E-4    1.461691673567714E-4     1.4883668140399278E-4    1.528197148168976E-4     1.571207049755071E-4     1.6067113815242977E-4    1.6421301378709472E-4    1.6771873021403236E-4    1.7034502766269407E-4    1.710462599457939E-4     1.7864391328724938E-4
% qy (m) @ t=0.2
2.1710423762476213E-4     -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999998E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -1.0E-4                  -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999996E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999996E-5    -1.0E-4                  -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999996E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999999E-5    -9.999999999999998E-5    -1.0E-4                  -1.0E-4                  -9.999999999999999E-5    -9.999999999999998E-5    -9.999999999999999E-5    -9.999999999999999E-5    2.1709023805101453E-4
% qx (m) @ t=0.3
